Stature,Head breadth,Head depth,Head circumference,Face length
1567.0,170.0,177.0,566.0,112.0
1781.0,151.0,203.0,583.0,115.0
1806.0,159.0,209.0,596.0,124.0
1741.0,155.0,204.0,589.0,125.0
1864.0,160.0,206.0,592.0,124.0
1755.0,156.0,201.0,587.0,123.0
1655.0,150.0,187.0,565.0,109.0
1665.0,154.0,200.0,590.0,124.0
1921.0,146.0,205.0,584.0,120.0
1678.0,162.0,190.0,569.0,123.0
1621.0,136.0,188.0,536.0,109.0
1771.0,160.0,205.0,589.0,124.0
1541.0,144.0,185.0,535.0,110.0
1722.0,156.0,201.0,580.0,133.0
1771.0,160.0,205.0,589.0,124.0
1783.0,151.0,196.0,577.0,128.0
1712.0,152.0,202.0,573.0,126.0
1904.0,144.0,204.0,570.0,128.0
1694.0,152.0,192.0,564.0,113.0
1639.0,143.0,192.0,551.0,116.0
1554.0,143.0,193.0,544.0,115.0
1614.0,144.0,199.0,565.0,120.0
1565.0,148.0,187.0,555.0,108.0
1682.0,143.0,194.0,535.0,115.0
1638.0,144.0,192.0,545.0,117.0
1594.0,149.0,191.0,552.0,113.0
1572.0,145.0,190.0,550.0,116.0
1556.0,150.0,180.0,535.0,97.0
1491.0,147.0,178.0,532.0,106.0
1819.0,155.0,196.0,571.0,119.0
1950.0,160.0,204.0,605.0,130.0
1776.0,158.0,198.0,572.0,132.0
1800.0,161.0,203.0,594.0,125.0
1672.0,146.0,180.0,522.0,111.0
1666.0,144.0,191.0,554.0,123.0
1754.0,146.0,206.0,585.0,123.0
1794.0,157.0,207.0,591.0,120.0
1794.0,149.0,200.0,572.0,115.0
1833.0,156.0,190.0,578.0,112.0
1770.0,152.0,197.0,575.0,119.0
1606.0,145.0,189.0,532.0,102.0
1574.0,146.0,187.0,557.0,103.0
1879.0,145.0,200.0,564.0,120.0
1753.0,148.0,192.0,557.0,120.0
1775.0,156.0,191.0,565.0,124.0
1538.0,148.0,174.0,532.0,110.0
1685.0,157.0,195.0,578.0,116.0
1574.0,146.0,193.0,554.0,112.0
1561.0,144.0,181.0,534.0,112.0
1552.0,152.0,180.0,532.0,109.0
1698.0,147.0,189.0,537.0,114.0
1862.0,157.0,211.0,599.0,120.0
1658.0,146.0,194.0,560.0,115.0
1696.0,140.0,184.0,539.0,103.0
1822.0,156.0,203.0,599.0,124.0
1813.0,161.0,205.0,599.0,129.0
1746.0,150.0,196.0,565.0,122.0
1646.0,148.0,195.0,562.0,121.0
1692.0,149.0,195.0,558.0,109.0
1719.0,156.0,207.0,594.0,130.0
1746.0,144.0,189.0,548.0,117.0
1775.0,161.0,202.0,586.0,124.0
1855.0,152.0,204.0,586.0,138.0
1761.0,155.0,213.0,609.0,122.0
1775.0,147.0,192.0,554.0,116.0
1737.0,165.0,201.0,599.0,124.0
1805.0,160.0,202.0,594.0,122.0
1852.0,153.0,201.0,572.0,124.0
1886.0,154.0,205.0,586.0,125.0
1785.0,155.0,201.0,589.0,116.0
