Stature,Head breadth,Head depth,Head circumference,Face length
1707.0,155.0,196.0,570.0,123.0
1793.0,155.0,189.0,562.0,115.0
1813.0,148.0,186.0,540.0,111.0
1834.0,144.0,207.0,576.0,118.0
1673.0,147.0,181.0,545.0,112.0
1744.0,144.0,198.0,551.0,118.0
1633.0,142.0,183.0,537.0,104.0
1633.0,152.0,181.0,546.0,114.0
1605.0,140.0,189.0,545.0,109.0
1717.0,150.0,188.0,557.0,122.0
1779.0,157.0,201.0,578.0,116.0
1910.0,153.0,202.0,582.0,127.0
1833.0,148.0,200.0,568.0,126.0
1719.0,156.0,189.0,555.0,120.0
1873.0,151.0,195.0,568.0,129.0
1853.0,150.0,208.0,586.0,126.0
1786.0,153.0,187.0,568.0,104.0
1762.0,159.0,200.0,581.0,115.0
1698.0,152.0,201.0,578.0,129.0
1680.0,155.0,189.0,557.0,105.0
1605.0,143.0,177.0,536.0,111.0
1644.0,144.0,188.0,550.0,110.0
1631.0,149.0,189.0,559.0,116.0
1841.0,145.0,193.0,544.0,117.0
1645.0,139.0,183.0,542.0,109.0
1775.0,151.0,203.0,577.0,131.0
1814.0,148.0,197.0,572.0,122.0
1789.0,150.0,206.0,580.0,113.0
1759.0,156.0,191.0,556.0,115.0
1636.0,147.0,192.0,562.0,106.0
1671.0,145.0,198.0,549.0,125.0
1605.0,146.0,181.0,543.0,110.0
1689.0,143.0,186.0,536.0,104.0
1688.0,149.0,191.0,555.0,109.0
1732.0,147.0,191.0,557.0,119.0
1664.0,148.0,191.0,556.0,109.0
1744.0,147.0,200.0,579.0,119.0
1736.0,148.0,200.0,563.0,121.0
1658.0,151.0,190.0,566.0,117.0
1728.0,148.0,200.0,574.0,118.0
1649.0,142.0,176.0,524.0,113.0
1620.0,150.0,182.0,545.0,105.0
1695.0,150.0,197.0,563.0,116.0
1734.0,149.0,197.0,563.0,129.0
1778.0,162.0,203.0,587.0,124.0
1623.0,145.0,190.0,551.0,115.0
1665.0,142.0,181.0,545.0,112.0
1630.0,156.0,205.0,597.0,127.0
1720.0,146.0,200.0,573.0,110.0
1737.0,162.0,205.0,598.0,131.0
1792.0,155.0,203.0,583.0,118.0
1568.0,150.0,187.0,551.0,112.0
1675.0,146.0,185.0,540.0,118.0
1732.0,148.0,196.0,554.0,117.0
1622.0,152.0,187.0,547.0,117.0
1640.0,140.0,182.0,535.0,111.0
1674.0,156.0,191.0,561.0,117.0
1523.0,137.0,180.0,524.0,104.0
1547.0,143.0,185.0,539.0,107.0
1709.0,148.0,198.0,568.0,118.0
1866.0,163.0,203.0,600.0,123.0
1744.0,157.0,195.0,568.0,122.0
1716.0,154.0,203.0,580.0,107.0
1580.0,147.0,186.0,550.0,110.0
1711.0,152.0,195.0,565.0,114.0
1914.0,160.0,205.0,596.0,127.0
1850.0,159.0,206.0,588.0,127.0
1695.0,149.0,186.0,541.0,110.0
1675.0,147.0,202.0,560.0,121.0
1540.0,152.0,182.0,543.0,108.0
1674.0,154.0,194.0,562.0,113.0
1818.0,152.0,197.0,585.0,117.0
1601.0,143.0,188.0,543.0,104.0
