"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2138.0,1744.0,1626.0,665.0,131.0,187.0,478.0,783.0,902.0,760.0,394.0,313.0,321.0,226.0,356.0,494.0,631.0,1103.0,186.0,14.0,102.0,27.0,73.0,62.0,58.0
2164.0,1775.0,1667.0,687.0,118.0,218.0,469.0,799.0,916.0,724.0,385.0,330.0,333.0,199.0,350.0,515.0,627.0,1059.0,185.0,14.0,104.0,27.0,76.0,61.5,54.0
2005.0,1685.0,1574.0,669.0,154.0,211.0,458.0,743.0,877.0,711.0,427.0,342.0,372.0,251.0,326.0,463.0,600.0,1037.0,173.0,13.0,91.0,24.0,71.0,69.3,36.0
2305.0,1930.0,1794.0,776.0,141.0,256.0,520.0,887.0,999.0,814.0,452.0,362.0,372.0,259.0,402.0,532.0,662.0,1166.0,211.0,15.0,105.0,27.0,79.0,81.7,52.0
2133.0,1811.0,1691.0,693.0,130.0,202.0,491.0,825.0,928.0,757.0,420.0,330.0,338.0,224.0,366.0,491.0,625.0,1047.0,200.0,15.0,102.0,28.0,76.0,63.7,63.0
2123.0,1806.0,1690.0,718.0,142.0,248.0,470.0,868.0,974.0,737.0,438.0,332.0,359.0,225.0,343.0,476.0,617.0,1062.0,187.0,12.0,94.0,26.0,71.0,70.5,39.0
2163.0,1762.0,1662.0,673.0,142.0,193.0,480.0,802.0,909.0,753.0,414.0,318.0,351.0,246.0,357.0,505.0,632.0,1102.0,188.0,14.0,103.0,29.0,72.0,69.2,40.0
2193.0,1825.0,1740.0,683.0,131.0,183.0,500.0,793.0,937.0,765.0,431.0,331.0,333.0,217.0,351.0,517.0,655.0,1132.0,190.0,15.0,103.0,28.0,75.0,73.5,56.0
2151.0,1817.0,1703.0,672.0,118.0,190.0,482.0,787.0,927.0,737.0,433.0,371.0,400.0,254.0,358.0,526.0,647.0,1091.0,197.0,14.0,99.0,27.0,79.0,73.7,42.0
1886.0,1645.0,1519.0,658.0,119.0,203.0,455.0,723.0,823.0,675.0,437.0,368.0,382.0,255.0,316.0,505.0,606.0,1008.0,161.0,13.0,88.0,26.0,65.0,63.5,37.0
2014.0,1705.0,1566.0,650.0,132.0,195.0,455.0,803.0,887.0,705.0,374.0,321.0,335.0,219.0,330.0,470.0,587.0,1010.0,182.0,14.0,92.0,25.0,73.0,55.5,40.0
2017.0,1695.0,1564.0,670.0,135.0,225.0,445.0,758.0,877.0,700.0,410.0,333.0,404.0,245.0,315.0,481.0,599.0,1017.0,168.0,13.0,90.0,25.0,66.0,65.2,35.0
2351.0,1910.0,1784.0,742.0,144.0,217.0,525.0,861.0,972.0,790.0,481.0,354.0,393.0,246.0,374.0,540.0,664.0,1143.0,193.0,16.0,105.0,28.0,74.0,80.3,50.0
2155.0,1797.0,1656.0,741.0,125.0,264.0,477.0,827.0,952.0,766.0,408.0,316.0,343.0,199.0,367.0,470.0,596.0,1062.0,193.0,15.0,103.0,30.0,76.0,62.9,50.0
2021.0,1775.0,1634.0,749.0,124.0,266.0,483.0,784.0,910.0,734.0,454.0,318.0,329.0,217.0,362.0,503.0,635.0,1096.0,183.0,14.0,103.0,26.0,71.0,63.9,46.0
2234.0,1876.0,1735.0,771.0,141.0,246.0,525.0,843.0,953.0,760.0,462.0,333.0,352.0,234.0,369.0,527.0,643.0,1131.0,195.0,16.0,108.0,26.0,76.0,75.6,52.0
2089.0,1770.0,1631.0,746.0,150.0,265.0,481.0,813.0,939.0,737.0,488.0,365.0,403.0,252.0,350.0,499.0,633.0,1083.0,176.0,16.0,98.0,28.0,69.0,85.8,47.0
