Stature,Arm length,Shoulder breadth (bi-deltoid),Head breadth,Head depth,Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Body mass,Crotch height,Thigh circumference,Face length,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Bigonial breadth,Bitragion breadth,Nasal root protrusion,Relative Nasal Tip Protrusion
1628.0,520.0,475.0,142.0,186.0,540.0,460.0,1200.0,1065.0,1235.0,98.2,763.0,751.0,113.0,24.103,48.037,41.349,20.372,35.599,132.253,140.707,14.068,42.408
1720.0,570.0,421.0,147.0,192.0,572.0,433.0,900.0,714.0,1007.0,63.7,816.0,584.0,110.0,32.874,49.312,40.834,19.216,39.741,123.607,143.522,14.774,38.969
1644.0,566.0,406.0,158.0,187.0,552.0,431.0,1010.0,867.0,1050.0,72.4,759.0,607.0,119.0,24.173,48.368,41.024,18.129,38.448,114.708,158.938,13.202,37.481
1635.0,585.0,493.0,156.0,199.0,577.0,522.0,1107.0,1046.0,1084.0,95.0,701.0,637.0,116.0,28.112,49.292,38.619,15.834,41.218,131.396,163.797,15.572,32.123
1624.0,542.0,394.0,150.0,190.0,572.0,399.0,890.0,714.0,951.0,54.1,761.0,530.0,102.0,29.034,45.851,37.812,18.354,37.929,114.36,150.115,14.157,40.03
1637.0,527.0,428.0,146.0,193.0,559.0,450.0,950.0,748.0,1025.0,63.9,754.0,600.0,115.0,24.068,50.756,42.554,19.611,34.479,112.508,149.971,13.563,38.637
1703.0,558.0,463.0,155.0,187.0,545.0,421.0,994.0,849.0,990.0,70.2,828.0,613.0,134.0,24.078,52.942,42.483,17.856,33.286,115.897,152.964,14.071,33.728
1645.0,585.0,441.0,151.0,186.0,555.0,518.0,1170.0,1091.0,1075.0,86.0,767.0,588.0,125.0,26.157,48.545,40.642,19.523,36.288,127.334,155.022,16.261,40.215
1608.0,572.0,448.0,147.0,180.0,539.0,465.0,1023.0,792.0,1119.0,71.6,761.0,639.0,108.0,24.7,47.966,39.578,20.062,34.529,118.242,146.707,14.875,41.824
1598.0,538.0,424.0,140.0,181.0,515.0,426.0,1032.0,824.0,1036.0,67.8,754.0,579.0,110.0,26.825,48.735,42.084,21.529,35.554,118.071,162.489,12.386,44.177
1799.0,626.0,448.0,146.0,195.0,555.0,475.0,1016.0,902.0,1048.0,78.1,882.0,572.0,114.0,28.658,47.591,41.271,21.79,37.285,117.419,154.083,14.419,45.786
1586.0,567.0,391.0,149.0,174.0,533.0,510.0,1030.0,1012.0,1087.0,77.4,732.0,670.0,111.0,27.903,49.502,41.724,18.925,31.666,123.845,142.86,12.707,38.23
1645.0,535.0,432.0,148.0,200.0,566.0,456.0,1065.0,893.0,1112.0,79.1,764.0,645.0,116.0,25.611,48.417,40.792,19.859,39.945,118.299,148.647,13.128,41.016
1715.0,598.0,435.0,146.0,188.0,556.0,473.0,1078.0,1005.0,1135.0,83.1,816.0,676.0,126.0,26.073,49.995,40.57,20.817,33.532,125.559,146.605,15.502,41.637
1637.0,589.0,452.0,147.0,188.0,550.0,494.0,1140.0,965.0,1019.0,77.5,800.0,585.0,112.0,26.437,51.503,44.959,20.042,38.473,123.568,147.564,12.122,38.914
1843.0,650.0,495.0,155.0,190.0,558.0,494.0,936.0,800.0,924.0,73.3,886.0,539.0,131.0,23.652,58.775,48.41,21.461,37.496,124.916,153.177,12.158,36.514
1541.0,532.0,435.0,154.0,187.0,574.0,466.0,1149.0,960.0,1100.0,82.0,674.0,648.0,110.0,31.701,43.336,33.554,15.816,39.015,129.82,156.364,9.02,36.495
1702.0,611.0,404.0,142.0,193.0,555.0,517.0,1052.0,870.0,1075.0,78.4,785.0,624.0,104.0,25.522,49.79,40.412,16.978,35.362,115.123,150.048,14.047,34.099
1647.0,560.0,444.0,152.0,181.0,543.0,432.0,1077.0,886.0,1105.0,79.2,781.0,660.0,110.0,25.01,53.169,44.324,19.786,34.296,115.706,151.508,14.656,37.214
1581.0,571.0,413.0,147.0,180.0,540.0,481.0,1179.0,1049.0,1332.0,95.5,696.0,717.0,104.0,26.087,47.111,40.77,18.347,36.231,118.219,152.779,11.587,38.944
1562.0,540.0,418.0,148.0,179.0,533.0,456.0,1056.0,920.0,1065.0,73.5,746.0,660.0,106.0,23.96,44.907,36.907,19.049,33.29,123.297,146.641,15.421,42.418
1825.0,632.0,521.0,155.0,202.0,594.0,569.0,1168.0,1009.0,1075.0,105.4,843.0,674.0,127.0,29.974,52.935,43.809,20.956,42.961,131.582,155.909,16.111,39.588
1811.0,650.0,488.0,148.0,192.0,558.0,448.0,1007.0,910.0,980.0,80.9,823.0,585.0,117.0,22.236,57.052,48.616,24.179,35.737,125.901,153.855,18.657,42.379
2016.0,684.0,560.0,155.0,214.0,610.0,509.0,1236.0,1089.0,1190.0,127.5,913.0,680.0,126.0,33.878,54.726,48.567,22.063,40.712,136.288,159.103,16.496,40.316
1723.0,608.0,488.0,165.0,205.0,604.0,517.0,1127.0,1015.0,1050.0,100.7,757.0,589.0,114.0,29.12,48.442,38.806,20.257,39.268,133.304,160.568,17.08,41.817
1659.0,578.0,396.0,139.0,186.0,551.0,417.0,885.0,733.0,1005.0,62.0,777.0,595.0,118.0,24.908,53.299,44.239,19.14,33.978,116.306,144.427,12.737,35.911
1746.0,610.0,419.0,142.0,191.0,560.0,442.0,937.0,750.0,942.0,62.0,847.0,540.0,106.0,28.128,49.395,41.501,19.344,37.539,109.273,144.602,12.528,39.161
1620.0,562.0,453.0,144.0,183.0,536.0,494.0,1301.0,1064.0,1239.0,101.7,745.0,684.0,119.0,24.298,50.418,44.026,20.717,35.272,130.14,150.075,12.566,41.09
1744.0,633.0,454.0,140.0,190.0,546.0,504.0,980.0,822.0,996.0,69.6,836.0,587.0,113.0,24.69,47.367,38.751,19.135,35.446,123.166,146.227,13.438,40.398
1683.0,581.0,407.0,147.0,189.0,547.0,413.0,898.0,722.0,1003.0,64.1,818.0,593.0,120.0,23.766,50.399,41.687,18.994,32.756,111.098,142.414,12.186,37.687
1524.0,533.0,377.0,137.0,190.0,540.0,504.0,960.0,832.0,997.0,64.2,711.0,594.0,101.0,26.132,48.192,41.461,19.819,35.164,113.872,142.326,13.956,41.125
1734.0,624.0,431.0,151.0,203.0,579.0,459.0,890.0,826.0,956.0,64.4,822.0,546.0,126.0,25.254,48.889,40.507,19.301,33.219,113.437,144.188,17.455,39.479
