Stature,"Eye height, standing",Shoulder height,"Elbow height, standing","Fist height, standing","Thigh clearance, sitting",Shoulder-elbow length,"Elbow height, sitting","Popliteal height, sitting","Shoulder height, sitting","Eye height, sitting",Sitting height,Reach depth,Arm length,Breadth over the elbows,Shoulder breadth (bi-deltoid),"Hip breadth, sitting",Abdominal depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting",Foot length,Foot breadth,Hand length,Hand width (without thumb),Thumb breadth,Forefinger breadth,Grip circumference,Ear length,Body mass,Maximum gripping force,Pushing force with 2 hands,Pulling force 1 hand,Torque with two hands,Rotation of head towards left,Rotation of head towards right,Rotation of head backwards,Rotation of head toward chest,Bending of head towards right shoulder,Bending of head towards left shoulder,Pronation,Supination,Extension hand,Flexion hand,Radial deviation,Ulnar deviation,Forefinger flexion,Step-up height
1614.0,1518.0,1296.0,969.0,730.0,139.0,326.0,176.0,438.0,502.0,725.0,821.0,433.0,728.0,440.0,375.0,385.0,280.0,314.0,496.0,607.0,238.0,90.0,177.0,80.0,20.0,13.0,12.0,66.0,61.8,177.0,196.0,200.0,3.0,70.0,75.0,47.0,50.0,32.0,23.0,143.0,86.0,71.0,83.0,47.0,28.0,37.0,170.0
1688.0,1601.0,1394.0,1047.0,756.0,126.0,347.0,218.0,465.0,565.0,772.0,859.0,439.0,719.0,422.0,381.0,411.0,260.0,323.0,502.0,605.0,257.0,96.0,177.0,81.0,23.0,18.0,11.0,64.0,63.6,196.0,226.0,190.0,3.0,32.0,53.0,37.0,25.0,20.0,25.0,104.0,62.0,39.0,58.0,38.0,11.0,48.0,170.0
1585.0,1490.0,1316.0,991.0,699.0,139.0,324.0,218.0,438.0,543.0,716.0,812.0,430.0,723.0,439.0,401.0,377.0,291.0,311.0,487.0,594.0,248.0,91.0,175.0,82.0,21.0,16.0,11.0,68.0,62.0,206.0,245.0,205.0,3.0,37.0,52.0,59.0,28.0,25.0,32.0,123.0,83.0,69.0,63.0,46.0,22.0,59.0,170.0
1536.0,1434.0,1264.0,937.0,705.0,130.0,328.0,193.0,431.0,520.0,690.0,792.0,403.0,645.0,495.0,402.0,423.0,338.0,295.0,462.0,600.0,242.0,104.0,170.0,83.0,23.0,16.0,10.0,80.0,65.0,167.0,123.0,193.0,3.0,51.0,64.0,70.0,40.0,39.0,35.0,141.0,93.0,39.0,62.0,37.0,49.0,61.0,210.0
1594.0,1492.0,1311.0,978.0,712.0,126.0,333.0,239.0,413.0,572.0,752.0,855.0,406.0,643.0,411.0,393.0,392.0,318.0,295.0,473.0,576.0,234.0,82.0,166.0,75.0,20.0,16.0,11.0,63.0,62.0,206.0,240.0,221.0,5.0,41.0,61.0,66.0,33.0,32.0,31.0,113.0,93.0,73.0,62.0,50.0,18.0,55.0,210.0
1770.0,1641.0,1461.0,1108.0,788.0,146.0,352.0,255.0,465.0,607.0,788.0,917.0,479.0,748.0,552.0,497.0,423.0,396.0,349.0,545.0,663.0,272.0,104.0,190.0,90.0,28.0,20.0,13.0,76.0,99.7,402.0,540.0,441.0,4.0,32.0,44.0,49.0,37.0,30.0,24.0,135.0,108.0,55.0,53.0,42.0,12.0,44.0,120.0
1576.0,1485.0,1285.0,949.0,699.0,144.0,335.0,198.0,418.0,534.0,734.0,826.0,414.0,685.0,452.0,401.0,408.0,309.0,304.0,469.0,589.0,227.0,83.0,172.0,74.0,20.0,14.0,13.0,64.0,67.3,275.0,294.0,271.0,6.0,48.0,57.0,63.0,34.0,36.0,38.0,100.0,118.0,72.0,51.0,57.0,25.0,64.0,170.0
1663.0,1565.0,1380.0,1019.0,719.0,148.0,361.0,226.0,447.0,587.0,772.0,870.0,457.0,743.0,479.0,440.0,389.0,329.0,349.0,498.0,616.0,252.0,97.0,181.0,86.0,26.0,20.0,12.0,71.0,77.1,441.0,603.0,410.0,5.0,62.0,64.0,52.0,29.0,51.0,45.0,105.0,86.0,57.0,55.0,40.0,26.0,55.0,80.0
1810.0,1697.0,1510.0,1151.0,797.0,153.0,358.0,311.0,467.0,670.0,857.0,970.0,500.0,716.0,504.0,477.0,418.0,286.0,372.0,491.0,641.0,272.0,96.0,202.0,86.0,22.0,18.0,14.0,64.0,85.0,422.0,412.0,341.0,5.0,76.0,82.0,67.0,27.0,30.0,28.0,108.0,98.0,62.0,79.0,32.0,14.0,44.0,170.0
1608.0,1503.0,1336.0,984.0,685.0,135.0,352.0,197.0,433.0,549.0,716.0,821.0,443.0,707.0,474.0,392.0,398.0,335.0,334.0,509.0,618.0,243.0,93.0,182.0,83.0,22.0,18.0,13.0,69.0,70.9,177.0,250.0,159.0,4.0,51.0,67.0,53.0,46.0,23.0,29.0,144.0,123.0,65.0,76.0,35.0,31.0,73.0,170.0
