Stature,Head height,Head breadth,Head depth,Head circumference,Body mass,Face length,Face width,Face length long,Lower face length,Intercanthal width,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Width of mouth,Height of chin,Face length short,Sellion promentale length
1158.0,187.0,143.0,178.0,504.0,17.5,102.36,104.0,88.38,51.1,26.19,16.96,37.28,24.17,15.275,26.4,35.63,23.86,64.52,72.77
1060.0,198.0,148.0,169.0,515.0,19.0,111.05,113.0,92.89,55.03,32.82,21.46,37.86,25.79,15.262,29.17,38.25,23.6,69.29,78.26
1177.0,209.0,146.0,177.0,511.0,22.0,115.92,100.0,98.91,57.61,34.72,22.4,41.3,28.34,16.17,28.74,37.93,23.63,75.28,83.55
1187.0,197.0,143.0,175.0,510.0,21.0,110.12,107.0,90.75,57.86,32.24,21.1,32.89,21.9,12.918,27.27,38.24,21.59,69.16,76.59
1138.0,196.0,140.0,175.0,510.0,19.5,114.42,104.0,102.83,68.61,30.65,19.17,34.22,22.36,13.539,28.88,42.14,31.04,71.79,82.1
1085.0,187.0,143.0,162.0,491.0,18.0,102.04,109.0,87.67,54.87,31.52,20.89,32.8,22.22,13.653,29.01,39.85,20.61,67.06,76.68
1124.0,197.0,138.0,187.0,520.0,20.0,109.21,107.0,96.22,59.78,33.64,23.0,36.44,25.04,13.128,28.56,41.25,22.52,73.7,84.72
1254.0,199.0,136.0,185.0,522.0,28.0,118.55,112.0,96.8,57.93,31.42,20.11,38.87,26.73,15.391,29.67,40.4,26.02,70.78,83.97
1216.0,202.0,149.0,167.0,497.0,22.0,116.08,105.0,98.13,58.58,33.0,20.11,39.55,29.82,14.257,28.77,37.47,26.02,72.11,81.06
1150.0,184.0,144.0,170.0,496.0,22.0,104.68,114.0,89.86,52.43,31.45,20.49,37.43,26.47,13.937,28.41,39.55,20.95,68.91,78.58
1135.0,197.0,132.0,187.0,518.0,20.0,106.45,110.0,92.59,58.15,36.1,24.03,34.44,21.64,14.0,26.22,38.44,20.62,71.97,82.24
1086.0,186.0,143.0,183.0,534.0,18.5,100.44,109.0,88.55,52.73,32.72,21.65,35.82,24.12,14.253,30.66,38.16,22.89,65.66,72.6
1158.0,206.0,142.0,186.0,523.0,22.5,108.35,114.0,97.53,63.93,33.88,23.01,33.6,19.94,15.603,29.62,40.32,24.66,72.87,81.92
1062.0,177.0,140.0,186.0,512.0,17.5,106.59,107.0,92.55,57.93,33.35,22.82,34.62,20.08,16.425,28.99,39.33,24.48,68.07,76.61
1125.0,182.0,137.0,175.0,504.0,19.0,109.26,103.0,93.07,55.28,32.3,17.46,37.79,26.8,14.11,26.01,29.85,24.17,68.9,77.44
1072.0,195.0,144.0,177.0,512.0,16.0,107.98,110.0,95.7,57.9,31.97,19.63,37.8,24.74,16.05,26.14,38.51,22.98,72.72,81.53
1190.0,188.0,140.0,189.0,522.0,20.0,111.34,109.0,94.52,54.82,30.79,18.69,39.7,31.72,12.036,27.86,33.73,23.01,71.51,81.45
1121.0,193.0,139.0,178.0,500.0,19.0,100.55,104.0,89.44,54.8,27.69,19.46,34.64,23.69,13.734,29.8,41.76,21.45,67.99,77.44
1147.0,194.0,135.0,174.0,490.0,23.0,108.4,106.0,94.95,59.16,32.58,21.83,35.79,26.14,12.84,30.96,39.34,24.64,70.31,78.52
1171.0,204.0,140.0,175.0,510.0,20.5,111.61,103.0,95.39,58.0,32.89,21.4,37.39,24.43,15.466,25.58,36.58,26.29,69.1,78.14
1176.0,185.0,137.0,156.0,467.0,19.5,102.55,100.0,90.21,54.68,29.8,19.35,35.53,23.55,15.123,28.26,36.32,24.12,66.09,74.37
1269.0,185.0,142.0,179.0,517.0,27.0,107.54,108.0,93.8,56.3,34.0,22.67,37.5,24.29,16.925,31.39,39.76,25.31,68.49,79.98
1138.0,192.0,134.0,167.0,483.0,18.0,102.43,106.0,88.34,51.66,35.23,23.06,36.68,25.33,14.604,28.17,41.23,26.52,61.82,72.06
1257.0,200.0,136.0,170.0,497.0,22.0,116.33,99.0,98.28,55.56,35.03,24.06,42.72,31.83,16.473,28.73,37.14,27.52,70.76,81.26
